reward,return,success
-91.96,-44.29,0.0
-170.69,-84.15,0.0
-228.94,-129.59,0.0
-251.22,-165.5,0.0
-252.99,-121.07,0.0
-72.7,-35.99,0.0
-173.75,-87.95,0.0
-113.5,-55.39,0.0
-321.09,-154.04,0.0
-247.6,-148.93,0.0
-194.06,-107.81,0.0
-104.46,-37.02,0.0
-88.92,-41.9,0.0
-107.81,-51.24,0.0
-233.0,-109.04,0.0
-322.86,-155.25,0.0
-253.99,-122.98,0.0
-155.98,-74.75,0.0
-323.58,-146.32,0.0
-273.47,-137.44,0.0
-407.37,-180.26,0.0
-107.6,-49.99,0.0
-215.11,-81.22,0.0
-81.35,-46.22,0.0
-60.18,-31.5,0.0
-85.18,-46.27,0.0
-64.8,-29.12,0.0
-51.74,-23.0,0.0
-83.69,-41.38,0.0
-132.4,-81.66,0.0
-103.78,-57.05,0.0
-132.54,-56.08,0.0
-89.04,-34.97,0.0
-363.52,-163.25,0.0
-315.88,-170.5,0.0
-67.36,-21.98,0.0
-162.85,-83.16,0.0
-98.57,-55.78,0.0
-77.64,-34.42,0.0
-99.58,-29.36,0.0
-150.13,-88.12,0.0
-164.96,-103.42,0.0
-136.11,-64.28,0.0
-154.85,-75.55,0.0
-105.49,-40.25,0.0
-249.01,-110.76,0.0
-208.05,-104.34,0.0
-150.57,-90.92,0.0
-107.25,-53.43,0.0
-374.35,-202.1,0.0
-149.43,-76.98,0.0
-108.82,-53.22,0.0
-106.89,-51.57,0.0
-214.04,-126.92,0.0
-80.66,-36.18,0.0
-250.23,-126.7,0.0
-74.12,-24.49,0.0
-89.2,-42.51,0.0
-239.9,-115.02,0.0
-219.02,-124.31,0.0
-210.22,-97.84,0.0
-100.17,-52.39,0.0
-69.89,-29.44,0.0
-345.96,-150.38,0.0
-368.13,-196.08,0.0
-84.46,-25.25,0.0
-64.48,-52.62,0.0
-82.09,-40.57,0.0
-71.7,-45.28,0.0
-98.02,-39.91,0.0
-431.26,-254.37,0.0
-148.64,-29.95,0.0
-149.72,-47.99,0.0
-224.64,-131.28,0.0
-200.06,-94.14,0.0
-145.13,-76.63,0.0
-238.33,-128.44,0.0
-102.45,-47.95,0.0
-229.7,-84.85,0.0
-67.87,-29.99,0.0
-29.24,-42.79,0.0
-185.0,-86.06,0.0
-187.55,-91.42,0.0
-93.67,-51.45,0.0
-105.48,-30.35,0.0
-136.12,-68.79,0.0
-127.74,-61.67,0.0
-146.06,-58.45,0.0
-219.97,-122.44,0.0
-223.01,-96.49,0.0
-123.58,-65.44,0.0
-329.95,-79.89,0.0
-263.2,-105.69,0.0
-183.15,-84.47,0.0
-61.28,-27.51,0.0
-141.02,-54.35,0.0
-124.4,-64.11,0.0
-74.59,-16.21,0.0
-303.61,-160.38,0.0
-205.49,-110.79,0.0
-94.33,-39.3,0.0
-89.29,-48.97,0.0
-71.96,-20.43,0.0
-248.51,-74.01,0.0
-99.33,-41.62,0.0
-127.62,-47.68,0.0
-20.49,-8.66,0.0
-100.74,-36.12,0.0
-56.13,-13.49,0.0
-159.63,-75.06,0.0
-67.82,-17.85,0.0
-173.67,-93.42,0.0
-111.14,-20.01,0.0
-225.9,-92.37,0.0
-36.9,-23.64,0.0
-169.29,-71.26,0.0
-166.1,-62.92,0.0
-48.93,-28.13,0.0
-82.84,-57.7,0.0
-15.46,11.44,0.0
-118.6,-41.2,0.0
-138.38,-56.29,0.0
-181.69,-78.79,0.0
-163.4,-91.76,0.0
-128.71,-54.54,0.0
-131.27,-74.96,0.0
-143.08,-62.65,0.0
-103.62,-45.4,0.0
-6.05,-9.49,0.0
-188.97,-122.3,0.0
-122.96,-57.57,0.0
-172.3,-97.38,0.0
-175.45,-58.64,0.0
-175.55,-73.23,0.0
-112.59,-38.92,0.0
-106.07,-58.85,0.0
-74.41,-23.64,0.0
-122.83,-74.43,0.0
-122.66,-58.53,0.0
-98.34,-36.16,0.0
-120.66,-60.77,0.0
-89.4,-31.13,0.0
-89.37,-39.22,0.0
-112.46,-49.55,0.0
1.69,-1.41,0.0
-207.66,-102.43,0.0
-132.58,-80.71,0.0
-53.16,-12.41,0.0
-263.8,-100.73,0.0
-108.02,-44.95,0.0
-45.61,-19.72,0.0
-19.13,-16.62,0.0
-97.86,-25.99,0.0
-116.41,-65.25,0.0
-81.94,-16.27,0.0
-105.39,-35.72,0.0
-80.93,-32.3,0.0
-90.06,-38.7,0.0
-26.23,2.08,0.0
-82.43,-20.78,0.0
-100.73,-31.29,0.0
-35.03,-7.94,0.0
-59.16,-21.4,0.0
-123.12,-45.94,0.0
-76.88,-20.41,0.0
-109.86,-44.39,0.0
-91.0,-42.22,0.0
-86.47,-29.44,0.0
-66.98,-20.77,0.0
-105.31,-46.52,0.0
-75.64,-32.6,0.0
-140.43,-61.19,0.0
-119.34,-48.94,0.0
-17.26,6.07,0.0
-106.4,-62.27,0.0
-76.97,-7.77,0.0
-60.78,-12.24,0.0
