reward,return,success
-122.89,-66.47,0.0
-133.48,-51.01,0.0
-136.45,-74.82,0.0
-127.14,-51.71,0.0
-39.0,-29.28,0.0
-216.77,-127.12,0.0
-129.86,-53.4,0.0
13.39,-6.19,0.0
-266.35,-153.9,0.0
-175.07,-102.71,0.0
-123.02,-70.22,0.0
-158.63,-89.69,0.0
-44.92,-24.55,0.0
-254.43,-101.24,0.0
-232.2,-99.95,0.0
-60.57,-31.28,0.0
-169.0,-99.44,0.0
-73.35,-35.03,0.0
-114.68,-58.93,0.0
9.16,2.46,0.0
-129.71,-68.36,0.0
-257.74,-138.34,0.0
-144.42,-53.48,0.0
-354.01,-182.18,0.0
-284.05,-143.04,0.0
-86.07,-40.44,0.0
-105.92,-54.63,0.0
-236.73,-129.65,0.0
-69.34,-32.42,0.0
-164.39,-80.26,0.0
-443.58,-194.33,0.0
-22.99,-11.65,0.0
-75.17,-29.17,0.0
-144.65,-69.97,0.0
-112.62,-60.78,0.0
-103.49,-46.57,0.0
-90.34,-47.28,0.0
-87.33,-54.89,0.0
-71.01,-29.96,0.0
-73.11,-33.78,0.0
-86.27,-44.52,0.0
-82.24,-30.23,0.0
-93.7,-40.8,0.0
-108.23,-46.11,0.0
-298.89,-170.6,0.0
-160.78,-82.57,0.0
-250.39,-132.53,0.0
-109.99,-49.76,0.0
-236.8,-94.63,0.0
-144.17,-72.78,0.0
-131.38,-58.12,0.0
-198.25,-60.33,0.0
-170.7,-77.99,0.0
-62.22,-29.35,0.0
-74.78,-43.01,0.0
-92.13,-60.65,0.0
-118.0,-52.4,0.0
-281.85,-96.17,0.0
-69.3,-28.21,0.0
-146.22,-68.09,0.0
-245.61,-93.31,0.0
-146.0,-79.96,0.0
-114.18,-64.77,0.0
-72.19,-17.76,0.0
-16.75,-6.73,0.0
-176.66,-62.09,0.0
-87.2,-45.16,0.0
-192.4,-104.71,0.0
-89.89,-42.81,0.0
-113.48,-56.82,0.0
-66.42,-34.59,0.0
-150.74,-66.78,0.0
-110.04,-56.05,0.0
-60.47,-19.44,0.0
-59.13,-23.75,0.0
-131.78,-46.47,0.0
-144.6,-74.54,0.0
-277.71,-93.01,0.0
-242.8,-123.98,0.0
-217.31,-99.72,0.0
-228.53,-134.5,0.0
-96.55,-38.36,0.0
-114.66,-33.88,0.0
-120.47,-55.84,0.0
-35.96,-13.33,0.0
-88.93,-37.99,0.0
-77.81,-34.57,0.0
-167.01,-57.29,0.0
-151.59,-42.87,0.0
-87.11,-35.41,0.0
-118.59,-61.25,0.0
-56.19,-19.14,0.0
-152.13,-83.61,0.0
-124.28,-56.98,0.0
-99.52,-48.37,0.0
-74.3,-45.33,0.0
-69.41,-24.48,0.0
-121.51,-62.77,0.0
-86.82,-35.25,0.0
-124.63,-80.32,0.0
-224.28,-107.65,0.0
-99.73,-38.14,0.0
-66.25,-20.85,0.0
-230.65,-115.75,0.0
-94.71,-46.69,0.0
-153.77,-50.48,0.0
-225.45,-95.93,0.0
-113.87,-56.15,0.0
17.74,13.69,0.0
-107.34,-52.23,0.0
-98.14,-44.38,0.0
-66.07,-31.25,0.0
-104.51,-47.7,0.0
-37.45,-7.2,0.0
-80.63,-26.36,0.0
-138.58,-60.19,0.0
-75.68,-20.9,0.0
-104.39,-57.09,0.0
-62.71,-35.41,0.0
-121.02,-45.1,0.0
-112.65,-54.95,0.0
-81.62,-22.41,0.0
-64.51,-22.28,0.0
-57.76,-28.65,0.0
-78.82,-44.9,0.0
-123.44,-68.53,0.0
-176.19,-86.06,0.0
-110.28,-39.01,0.0
-193.26,-79.54,0.0
-83.26,-21.44,0.0
-52.38,-10.69,0.0
-70.56,-33.51,0.0
-116.26,-37.5,0.0
-52.43,-10.53,0.0
-67.44,-26.79,0.0
-133.58,-56.18,0.0
-207.01,-58.42,0.0
-121.87,-42.68,0.0
-116.95,-45.1,0.0
-116.09,-44.04,0.0
-83.22,-41.71,0.0
-101.32,-48.33,0.0
-115.31,-23.14,0.0
-53.67,-21.41,0.0
-207.62,-61.19,0.0
-172.99,-79.93,0.0
-108.05,-56.5,0.0
-25.34,-2.87,0.0
-154.13,-82.11,0.0
-130.06,-47.01,0.0
-83.99,-23.65,0.0
-87.87,-33.46,0.0
-74.71,-34.35,0.0
-47.25,-20.14,0.0
-72.0,-26.45,0.0
-117.12,-59.59,0.0
-83.1,-30.52,0.0
-98.09,-41.55,0.0
-13.55,-1.73,0.0
-96.59,-31.97,0.0
-83.75,-31.07,0.0
-67.62,-26.43,0.0
-50.04,-1.4,0.0
-115.47,-51.43,0.0
-53.29,-8.76,0.0
-90.51,-25.17,0.0
-75.25,-31.64,0.0
-66.4,-22.86,0.0
-66.31,-28.64,0.0
-40.11,1.44,0.0
-46.9,-10.45,0.0
-74.77,-30.13,0.0
-67.96,-23.05,0.0
-126.09,-44.98,0.0
-70.22,-30.99,0.0
-24.63,3.41,0.0
-72.75,-28.12,0.0
-66.2,-30.36,0.0
-120.29,-41.76,0.0
-27.68,4.92,0.0
-19.95,1.04,0.0
-171.56,-93.78,0.0
-82.6,-45.42,0.0
-40.13,-16.32,0.0
-40.94,-16.82,0.0
-76.44,-10.35,0.0
-51.4,9.28,0.0
-85.09,-26.39,0.0
-69.23,-2.37,0.0
-51.67,-13.64,0.0
-91.85,-30.33,0.0
-135.22,-26.63,0.0
-97.08,-37.84,0.0
-114.09,-52.28,0.0
-113.36,-49.75,0.0
-281.8,-23.53,0.0
-24.37,2.95,0.0
-32.05,-1.59,0.0
-28.41,3.96,0.0
-48.18,-12.09,0.0
-82.46,-37.22,0.0
-65.84,-27.46,0.0
-61.64,-30.21,0.0
-62.19,-20.13,0.0
-69.06,-15.29,0.0
-278.76,-46.43,0.0
-74.5,-33.31,0.0
-93.42,-36.78,0.0
-90.01,-31.22,0.0
-223.2,-65.27,0.0
-250.28,0.99,0.0
-48.41,-26.08,0.0
-90.47,-29.14,0.0
-50.88,-10.06,0.0
-28.04,0.35,0.0
-92.5,-10.8,0.0
-30.82,13.88,0.0
-91.94,-8.52,0.0
-343.65,-64.6,0.0
25.31,4.64,0.0
-77.89,4.43,0.0
-95.8,-33.32,0.0
-58.25,-26.55,0.0
-85.12,-9.25,0.0
-104.9,-40.51,0.0
-181.11,-1.33,0.0
-25.88,-11.84,0.0
-142.92,-46.13,0.0
-120.14,-44.15,0.0
-80.87,-12.66,0.0
-34.63,-3.99,0.0
-44.49,-7.42,0.0
-105.38,-42.75,0.0
-121.39,-14.48,0.0
-52.3,-9.84,0.0
-51.22,-6.89,0.0
-99.47,-50.25,0.0
-73.95,-42.36,0.0
-53.97,-19.82,0.0
-17.25,-4.49,0.0
-68.11,-1.26,0.0
-11.55,14.35,0.0
-53.63,-7.77,0.0
-9.69,22.43,0.0
-41.44,-3.46,0.0
-92.74,-30.64,0.0
-232.76,-17.09,0.0
-73.35,-26.36,0.0
-0.57,15.65,0.0
-37.81,4.56,0.0
-48.71,-5.13,0.0
-30.61,5.15,0.0
-68.04,-8.46,0.0
-196.29,-65.78,0.0
-274.53,11.74,0.0
-124.87,24.73,0.0
8.59,24.87,0.0
-15.09,0.07,0.0
10.24,13.28,0.0
-14.12,1.64,0.0
-61.25,-10.19,0.0
-81.3,-40.01,0.0
-52.47,-12.51,0.0
-85.8,11.95,0.0
-20.06,0.24,0.0
-104.08,-8.42,0.0
-98.3,-23.76,0.0
-56.81,5.27,0.0
-1.88,17.3,0.0
-53.96,-10.54,0.0
40.23,25.23,0.0
-44.71,2.04,0.0
-64.65,3.23,0.0
-73.37,-1.24,0.0
-231.29,-58.11,0.0
15.73,17.26,0.0
-32.22,9.04,0.0
-78.71,-32.05,0.0
-50.64,4.86,0.0
-182.73,0.22,0.0
-145.38,21.29,0.0
-7.2,4.42,0.0
-27.6,5.52,0.0
-50.05,-1.94,0.0
-39.3,-13.53,0.0
-97.78,-11.47,0.0
15.08,34.56,0.0
30.34,36.09,0.0
-96.8,-33.09,0.0
-113.78,-41.43,0.0
-224.04,-51.77,0.0
-13.17,18.73,0.0
-120.05,-44.82,0.0
-39.48,-11.02,0.0
-11.15,0.66,0.0
-48.54,-16.08,0.0
-107.2,-42.48,0.0
-74.09,-25.2,0.0
-34.97,-6.59,0.0
-184.25,-56.18,0.0
-42.2,-5.79,0.0
-71.21,-11.72,0.0
-39.39,3.66,0.0
